meter_id,daily_kw,date,region
M-001,1100.0,2026-04-06,NORTH-A
M-002,1200.0,2026-04-07,NORTH-A
M-003,1300.0,2026-04-08,NORTH-A
M-004,1400.0,2026-04-06,NORTH-B
M-005,1500.0,2026-04-07,NORTH-B
M-006,1600.0,2026-04-08,NORTH-B
M-007,1700.0,2026-04-06,SOUTH-A
M-008,1800.0,2026-04-07,SOUTH-A
M-009,1900.0,2026-04-08,SOUTH-A
M-010,2000.0,2026-04-06,SOUTH-B
M-011,2100.0,2026-04-07,SOUTH-B
M-012,2200.0,2026-04-08,SOUTH-B
M-013,2300.0,2026-04-06,EAST-A
M-014,2400.0,2026-04-07,EAST-A
M-015,2500.0,2026-04-08,EAST-A
M-016,1000.0,2026-04-06,EAST-B
M-017,1100.0,2026-04-07,EAST-B
M-018,1200.0,2026-04-08,EAST-B
M-019,1300.0,2026-04-06,EAST-C
M-020,1400.0,2026-04-07,EAST-C
M-021,1500.0,2026-04-08,EAST-C
M-022,1600.0,2026-04-06,WEST-A
M-023,1700.0,2026-04-07,WEST-A
M-024,1800.0,2026-04-08,WEST-A
M-025,1900.0,2026-04-06,WEST-B
M-026,2000.0,2026-04-07,WEST-B
M-027,2100.0,2026-04-08,WEST-B
M-028,2200.0,2026-04-06,CENTRAL-A
M-029,2300.0,2026-04-07,CENTRAL-A
M-030,2400.0,2026-04-08,CENTRAL-A
M-031,2500.0,2026-04-06,CENTRAL-B
M-032,1000.0,2026-04-07,CENTRAL-B
M-033,1100.0,2026-04-08,CENTRAL-B
M-034,1200.0,2026-04-06,CENTRAL-C
M-035,1300.0,2026-04-07,CENTRAL-C
M-036,1400.0,2026-04-08,CENTRAL-C
,1500.0,2026-04-08,SOUTH-A
M-100,-100.0,2026-04-08,EAST-A
M-001,1100.0,2026-04-06,NORTH-A
M-013,1400.0,2026-04-06,EAST-A
