meter_id,daily_kw,date,region
M-0001,1200.5,2026-03-10,NORTH
M-0002,1850.3,2026-03-10,NORTH
M-0003,-100.0,2026-03-10,NORTH
M-0004,2100.7,2026-03-10,NORTH
M-0005,950.2,2026-03-10,NORTH
M-0006,1500.0,2026-03-10,SOUTH
M-0007,-50.0,2026-03-10,SOUTH
M-0008,2300.8,2026-03-10,SOUTH
M-0009,1100.5,2026-03-10,SOUTH
M-0010,1700.2,2026-03-10,SOUTH
M-0011,1400.6,2026-03-10,EAST
M-0012,1900.3,2026-03-10,EAST
M-0013,2500.1,2026-03-10,EAST
M-0014,-200.0,2026-03-10,EAST
M-0015,1050.8,2026-03-10,EAST
M-0016,1800.0,2026-03-10,WEST
M-0017,2200.5,2026-03-10,WEST
M-0018,1250.7,2026-03-10,WEST
M-0019,1950.2,2026-03-10,WEST
M-0020,1650.4,2026-03-10,WEST
