meter_id,daily_kw,date,region,substation_id
M-00194,858.9,2026-03-13,EAST_INLAND,SUB-005
M-00321,2382.3,2026-03-15,WEST,SUB-021
M-00392,4209.8,2026-03-12,SOUTH,SUB-002
M-00130,2326.6,2026-03-16,NORTH_COAST,SUB-006
M-00454,,2026-03-14,NORTH_INLAND,SUB-027
M-00205,1472.4,2026-03-13,SOUTH,SUB-034
M-00254,964.4,2026-03-14,NORTH_INLAND,SUB-029
M-00106,4125.7,2026-03-13,WEST_COAST,SUB-024
M-00113,1207.6,2026-03-12,NORTH,SUB-014
M-00311,4273.1,2026-03-10,NORTH_INLAND,SUB-036
M-00242,3378.3,2026-03-15,EAST_INLAND,SUB-020
M-00330,3290.2,2026-03-11,EAST_COAST,SUB-029
M-00121,1786.8,2026-03-10,NORTH,SUB-039
M-00074,3188.7,2026-03-13,WEST_COAST,SUB-026
M-00160,667.8,2026-03-12,EAST_COAST,SUB-023
M-00105,4337.1,2026-03-14,NORTH_INLAND,SUB-033
M-00060,3037.0,2026-03-13,WEST,SUB-019
M-00084,335.8,2026-03-11,NORTH,SUB-010
M-00198,3436.5,2026-03-12,SOUTH_INLAND,SUB-001
M-00280,1556.1,2026-03-15,EAST,SUB-039
M-00066,287.5,2026-03-15,EAST_INLAND,SUB-003
M-00244,3932.4,2026-03-16,NORTH_INLAND,SUB-037
M-00213,764.0,2026-03-15,EAST,SUB-004
M-00054,855.6,2026-03-12,EAST_COAST,SUB-013
M-00298,1683.2,2026-03-14,NORTH,SUB-008
M-00341,506.1,2026-03-10,SOUTH_COAST,SUB-020
M-00077,352.7,2026-03-12,SOUTH,SUB-024
M-00238,4399.1,2026-03-15,EAST,SUB-002
M-00366,993.6,2026-03-13,NORTH,SUB-020
M-00010,2182.1,2026-03-14,NORTH_COAST,SUB-036
M-00246,499.0,2026-03-14,WEST_INLAND,SUB-006
M-00293,3618.1,2026-03-15,NORTH_COAST,SUB-017
M-00028,1064.8,2026-03-11,SOUTH_COAST,SUB-039
M-00355,2956.8,2026-03-11,EAST_COAST,SUB-008
M-00462,,2026-03-14,NORTH_COAST,SUB-032
M-00268,2262.2,2026-03-14,EAST_INLAND,SUB-021
M-00263,253.4,2026-03-15,WEST,SUB-022
M-00094,2754.6,2026-03-11,EAST,SUB-019
M-00175,574.7,2026-03-16,WEST_COAST,SUB-014
M-00192,2722.9,2026-03-14,SOUTH,SUB-020
M-00024,118.2,2026-03-12,EAST_COAST,SUB-021
M-00422,261.9,2026-03-11,NORTH_COAST,SUB-031
M-00125,4217.0,2026-03-15,SOUTH_COAST,SUB-001
M-00110,680.2,2026-03-14,EAST,SUB-021
M-00155,917.4,2026-03-15,EAST,SUB-019
M-00186,833.3,2026-03-12,NORTH_INLAND,SUB-040
M-00476,,2026-03-12,WEST,SUB-030
M-00217,3426.1,2026-03-12,EAST_COAST,SUB-020
M-00401,2212.1,2026-03-11,EAST_INLAND,SUB-022
M-00237,4243.9,2026-03-15,NORTH,SUB-038
M-00403,2267.6,2026-03-12,NORTH_INLAND,SUB-040
M-00233,3623.7,2026-03-12,WEST,SUB-019
M-00049,241.6,2026-03-10,EAST_COAST,SUB-012
M-00013,3707.3,2026-03-15,NORTH_INLAND,SUB-008
M-00483,-1.0,2026-03-14,NORTH,SUB-002
M-00399,725.5,2026-03-10,NORTH,SUB-011
M-00019,2481.3,2026-03-13,WEST_INLAND,SUB-022
M-00328,4077.5,2026-03-12,EAST_COAST,SUB-017
M-00361,2907.8,2026-03-12,EAST,SUB-037
M-00413,1760.1,2026-03-12,EAST,SUB-006
M-00350,941.5,2026-03-16,EAST_INLAND,SUB-038
M-00216,3131.2,2026-03-11,SOUTH_INLAND,SUB-005
M-00089,1871.8,2026-03-12,EAST,SUB-009
M-00302,451.6,2026-03-12,NORTH_COAST,SUB-038
M-00117,2832.8,2026-03-12,NORTH_COAST,SUB-013
M-00467,,2026-03-14,WEST,SUB-009
M-00037,4054.9,2026-03-15,WEST_COAST,SUB-034
M-00195,177.1,2026-03-15,NORTH_COAST,SUB-003
M-00370,719.9,2026-03-11,SOUTH,SUB-012
M-00340,1683.4,2026-03-16,NORTH_COAST,SUB-019
M-00231,3773.3,2026-03-10,WEST_COAST,SUB-037
M-00041,2915.5,2026-03-10,NORTH_INLAND,SUB-014
M-00424,4320.6,2026-03-15,SOUTH_COAST,SUB-016
M-00455,,2026-03-14,SOUTH_INLAND,SUB-010
M-00243,480.6,2026-03-15,SOUTH_COAST,SUB-026
M-00369,2262.1,2026-03-13,EAST_COAST,SUB-033
M-00461,,2026-03-11,EAST,SUB-014
M-00357,257.4,2026-03-11,SOUTH_COAST,SUB-002
M-00176,2684.4,2026-03-15,NORTH_INLAND,SUB-037
M-00204,2596.1,2026-03-10,EAST,SUB-008
M-00308,1141.5,2026-03-15,WEST_INLAND,SUB-011
M-00320,1475.0,2026-03-10,WEST_INLAND,SUB-012
M-00419,2348.6,2026-03-15,SOUTH_COAST,SUB-028
M-00482,-1.0,2026-03-15,EAST_INLAND,SUB-021
M-00116,2952.9,2026-03-12,NORTH,SUB-003
M-00275,3169.3,2026-03-16,EAST_COAST,SUB-034
M-00450,4056.8,2026-03-10,EAST_COAST,SUB-037
M-00053,2630.9,2026-03-16,NORTH,SUB-021
M-00337,3268.2,2026-03-11,WEST,SUB-006
M-00221,1021.1,2026-03-13,SOUTH_INLAND,SUB-019
M-00386,4002.7,2026-03-11,SOUTH,SUB-016
M-00278,1550.1,2026-03-13,NORTH_INLAND,SUB-030
M-00248,261.7,2026-03-11,NORTH_COAST,SUB-006
M-00091,227.0,2026-03-11,EAST_COAST,SUB-028
M-00452,602.8,2026-03-12,SOUTH,SUB-007
M-00421,1562.7,2026-03-14,SOUTH,SUB-012
M-00433,4301.6,2026-03-12,SOUTH,SUB-026
M-00338,1927.3,2026-03-14,WEST,SUB-029
M-00323,2482.9,2026-03-12,WEST_COAST,SUB-006
M-00429,2023.7,2026-03-12,NORTH_INLAND,SUB-004
M-00346,2423.0,2026-03-13,SOUTH,SUB-002
M-00058,2775.2,2026-03-16,WEST_COAST,SUB-014
M-00428,2202.7,2026-03-15,NORTH,SUB-038
M-00317,1579.4,2026-03-10,SOUTH_COAST,SUB-002
M-00304,3196.0,2026-03-15,EAST_COAST,SUB-006
M-00497,270.8,2026-03-14,,SUB-002
M-00247,378.9,2026-03-11,NORTH,SUB-032
M-00069,2494.5,2026-03-16,WEST_INLAND,SUB-033
M-00372,2922.2,2026-03-10,NORTH_COAST,SUB-002
M-00270,667.8,2026-03-12,EAST,SUB-030
M-00404,2151.2,2026-03-14,WEST_INLAND,SUB-010
M-00291,2779.5,2026-03-15,NORTH,SUB-039
M-00064,966.9,2026-03-13,NORTH_COAST,SUB-039
M-00382,829.3,2026-03-13,NORTH_INLAND,SUB-037
M-00285,2689.1,2026-03-14,EAST_COAST,SUB-028
M-00065,2984.1,2026-03-12,WEST_COAST,SUB-026
M-00165,4179.0,2026-03-16,SOUTH_INLAND,SUB-035
M-00279,3538.7,2026-03-11,SOUTH,SUB-028
M-00427,2637.2,2026-03-14,SOUTH_COAST,SUB-030
M-00257,1270.0,2026-03-16,NORTH_INLAND,SUB-028
M-00119,1356.1,2026-03-11,WEST_INLAND,SUB-004
M-00368,976.3,2026-03-12,EAST,SUB-007
M-00449,3635.2,2026-03-10,EAST_COAST,SUB-020
M-00407,1386.2,2026-03-14,WEST_COAST,SUB-026
M-00001,118.2,2026-03-12,WEST_INLAND,SUB-015
M-00250,1677.0,2026-03-14,WEST_COAST,SUB-024
