meter_id,daily_kw,date,region,customer_type,substation_id,is_valid,tier
M-00001,1920.5,2026-03-15,NORTH,commercial,SUB-021,true,medium
M-00002,3085.8,2026-03-21,EAST_COAST,commercial,SUB-018,true,high
M-00003,2538.3,2026-03-23,SOUTH,residential,SUB-037,true,high
M-00004,2434.2,2026-03-10,WEST_INLAND,residential,SUB-013,true,high
M-00005,1116.3,2026-03-11,NORTH,residential,SUB-012,true,medium
M-00006,3011.7,2026-03-17,SOUTH_INLAND,residential,SUB-037,true,high
M-00007,2913.7,2026-03-22,WEST,residential,SUB-035,true,high
M-00008,2532.8,2026-03-22,EAST_INLAND,commercial,SUB-032,true,high
M-00009,1439.1,2026-03-19,NORTH,residential,SUB-036,true,medium
M-00010,183.3,2026-03-13,WEST,residential,SUB-003,true,low
M-00011,109.7,2026-03-14,NORTH_INLAND,residential,SUB-016,true,low
M-00012,3011.0,2026-03-14,SOUTH,commercial,SUB-007,true,high
M-00013,4167.5,2026-03-15,EAST,residential,SUB-003,true,critical
M-00014,1981.3,2026-03-17,EAST_COAST,residential,SUB-034,true,medium
M-00015,1708.3,2026-03-11,EAST_INLAND,industrial,SUB-033,true,medium
M-00016,4298.2,2026-03-11,NORTH_COAST,residential,SUB-024,true,critical
M-00017,196.1,2026-03-10,SOUTH,commercial,SUB-030,true,low
M-00018,1630.5,2026-03-18,SOUTH_COAST,commercial,SUB-027,true,medium
M-00019,4398.0,2026-03-12,WEST,residential,SUB-002,true,critical
M-00020,59.7,2026-03-15,NORTH,residential,SUB-002,true,low
M-00021,3872.1,2026-03-20,EAST_COAST,industrial,SUB-022,true,high
M-00022,3101.4,2026-03-18,NORTH_COAST,residential,SUB-039,true,high
M-00023,880.1,2026-03-23,WEST_COAST,commercial,SUB-016,true,medium
M-00024,3027.4,2026-03-12,SOUTH,commercial,SUB-016,true,high
M-00025,228.5,2026-03-19,NORTH_COAST,industrial,SUB-035,true,low
M-00026,2470.9,2026-03-12,NORTH,residential,SUB-011,true,high
M-00027,2899.3,2026-03-22,NORTH_COAST,residential,SUB-003,true,high
M-00028,2556.4,2026-03-10,EAST,residential,SUB-019,true,high
M-00029,3082.4,2026-03-12,SOUTH_COAST,industrial,SUB-024,true,high
M-00030,116.3,2026-03-16,SOUTH,industrial,SUB-027,true,low
M-00031,3140.6,2026-03-11,NORTH_INLAND,industrial,SUB-012,true,high
M-00032,1250.6,2026-03-11,SOUTH,residential,SUB-007,true,medium
M-00033,168.1,2026-03-14,NORTH_COAST,residential,SUB-036,true,low
M-00034,111.7,2026-03-22,WEST,residential,SUB-022,true,low
M-00035,199.0,2026-03-16,SOUTH_COAST,residential,SUB-017,true,low
M-00036,1378.0,2026-03-21,SOUTH_COAST,commercial,SUB-025,true,medium
M-00037,2561.5,2026-03-15,SOUTH,commercial,SUB-020,true,high
M-00038,305.1,2026-03-19,EAST,commercial,SUB-026,true,low
M-00039,1556.4,2026-03-17,NORTH,residential,SUB-033,true,medium
M-00040,4372.9,2026-03-16,SOUTH_COAST,residential,SUB-037,true,critical
M-00041,1129.1,2026-03-12,SOUTH_COAST,residential,SUB-038,true,medium
M-00042,956.0,2026-03-17,NORTH_INLAND,industrial,SUB-016,true,medium
M-00043,2714.2,2026-03-10,WEST,residential,SUB-021,true,high
M-00044,3061.6,2026-03-14,WEST_COAST,residential,SUB-029,true,high
M-00045,4163.1,2026-03-23,NORTH_COAST,residential,SUB-026,true,critical
M-00046,307.9,2026-03-11,NORTH_COAST,residential,SUB-010,true,low
M-00047,4080.3,2026-03-13,SOUTH_INLAND,commercial,SUB-026,true,critical
M-00048,3044.5,2026-03-11,SOUTH,industrial,SUB-002,true,high
M-00049,3276.4,2026-03-15,NORTH_INLAND,residential,SUB-011,true,high
M-00050,2785.6,2026-03-19,EAST,commercial,SUB-027,true,high
M-00051,2384.1,2026-03-19,NORTH_COAST,commercial,SUB-010,true,high
M-00052,2758.2,2026-03-12,EAST_INLAND,residential,SUB-010,true,high
M-00053,2619.9,2026-03-12,SOUTH_COAST,residential,SUB-012,true,high
M-00054,2111.8,2026-03-18,SOUTH,residential,SUB-021,true,high
M-00055,2782.2,2026-03-22,NORTH_COAST,residential,SUB-011,true,high
M-00056,1385.1,2026-03-19,SOUTH_COAST,industrial,SUB-028,true,medium
M-00057,3844.0,2026-03-10,NORTH,industrial,SUB-024,true,high
M-00058,1475.5,2026-03-19,NORTH_COAST,residential,SUB-010,true,medium
M-00059,3691.5,2026-03-22,NORTH,residential,SUB-038,true,high
M-00060,572.4,2026-03-19,SOUTH_INLAND,commercial,SUB-034,true,medium
M-00061,471.4,2026-03-23,SOUTH,industrial,SUB-008,true,low
M-00062,1559.2,2026-03-21,NORTH_COAST,residential,SUB-005,true,medium
M-00063,1149.0,2026-03-20,SOUTH,residential,SUB-003,true,medium
M-00064,128.9,2026-03-11,SOUTH,industrial,SUB-014,true,low
M-00065,1079.5,2026-03-23,NORTH_COAST,residential,SUB-033,true,medium
