meter_id,region,daily_kw,date
M-01095,SOUTH,19.34,2026-01-01
M-00352,SOUTH,18.05,2026-01-21
M-00978,SOUTH,16.05,2026-01-15
M-01978,SOUTH,61.0,2026-01-24
M-01233,NORTH,9.51,2026-01-24
M-01995,EAST,86.47,2026-01-20
M-00739,NORTH,16.1,2026-01-23
M-00809,NORTH,334.39,2026-01-26
M-00620,SOUTH,86.51,2026-01-03
M-00230,SOUTH,86.51,2026-01-27
M-00033,SOUTH,109.81,2026-01-23
M-00429,WEST,17.02,2026-01-16
M-01329,SOUTH,10.87,2026-01-05
M-01283,SOUTH,365.53,2026-01-28
M-01618,NORTH,12.55,2026-01-18
M-00950,WEST,95.05,2026-01-05
M-00971,NORTH,19.61,2026-01-14
M-00313,SOUTH,18.22,2026-01-24
M-01439,NORTH,20.97,2026-01-15
M-01761,SOUTH,17.31,2026-01-15
M-01199,SOUTH,19.06,2026-01-08
M-01708,EAST,21.34,2026-01-13
M-00105,NORTH,102.97,2026-01-11
M-01461,NORTH,85.89,2026-01-14
M-00852,NORTH,14.45,2026-01-28
M-01498,EAST,85.45,2026-01-18
M-00596,WEST,14.89,2026-01-02
M-01211,SOUTH,425.71,2026-01-24
M-01253,WEST,15.84,2026-01-30
M-01000,WEST,13.52,2026-01-08
M-01463,NORTH,15.22,2026-01-02
M-00647,NORTH,17.5,2026-01-18
M-00131,NORTH,20.19,2026-01-09
M-00970,WEST,16.25,2026-01-04
M-01014,EAST,95.91,2026-01-20
M-01429,EAST,80.6,2026-01-14
M-00043,NORTH,17.58,2026-01-06
M-00705,EAST,19.71,2026-01-15
M-00476,EAST,19.12,2026-01-17
M-00695,NORTH,112.42,2026-01-30
M-01234,NORTH,95.24,2026-01-28
M-00269,SOUTH,14.7,2026-01-29
M-00601,WEST,77.23,2026-01-24
M-01707,WEST,11.36,2026-01-31
M-01379,SOUTH,11.69,2026-01-21
M-01638,NORTH,62.37,2026-01-28
M-00332,WEST,445.64,2026-01-20
M-00177,SOUTH,513.05,2026-01-22
M-00989,SOUTH,18.73,2026-01-05
M-01008,WEST,19.39,2026-01-04
M-01626,NORTH,20.95,2026-01-14
M-00481,NORTH,16.9,2026-01-07
M-01141,EAST,20.55,2026-01-02
M-00535,SOUTH,419.72,2026-01-12
M-01387,WEST,20.44,2026-01-06
M-01032,EAST,107.48,2026-01-02
M-01653,EAST,17.3,2026-01-03
M-00465,EAST,19.13,2026-01-04
M-01151,WEST,9.44,2026-01-08
M-01608,SOUTH,18.74,2026-01-12
M-01576,NORTH,18.43,2026-01-02
M-01836,NORTH,340.24,2026-01-05
M-01748,SOUTH,20.58,2026-01-23
M-00214,EAST,72.62,2026-01-23
M-00104,EAST,106.55,2026-01-30
M-01972,NORTH,16.4,2026-01-27
M-01548,EAST,106.96,2026-01-04
M-01249,NORTH,17.25,2026-01-26
M-01758,NORTH,20.78,2026-01-31
M-01039,SOUTH,20.07,2026-01-04
M-00343,EAST,91.37,2026-01-21
M-00741,NORTH,19.24,2026-01-06
M-01492,EAST,79.39,2026-01-10
M-01021,NORTH,13.58,2026-01-24
M-01783,SOUTH,19.45,2026-01-04
M-01678,SOUTH,20.12,2026-01-05
M-00252,SOUTH,20.12,2026-01-28
M-01576,NORTH,24.81,2026-01-25
M-00014,WEST,19.55,2026-01-08
M-00588,EAST,15.37,2026-01-17
M-00351,WEST,11.71,2026-01-03
M-00850,SOUTH,22.26,2026-01-12
M-01290,SOUTH,85.61,2026-01-22
M-01085,EAST,106.32,2026-01-14
M-01613,SOUTH,93.73,2026-01-08
M-01881,WEST,95.29,2026-01-14
M-01840,SOUTH,21.11,2026-01-15
M-01398,EAST,17.03,2026-01-12
M-01933,NORTH,13.67,2026-01-01
M-01470,EAST,19.63,2026-01-26
M-01060,SOUTH,95.5,2026-01-31
M-00823,SOUTH,19.04,2026-01-25
M-00337,WEST,518.48,2026-01-14
M-01353,NORTH,460.05,2026-01-30
M-01314,WEST,88.6,2026-01-05
M-01294,SOUTH,17.46,2026-01-23
M-01637,EAST,23.15,2026-01-22
M-00859,WEST,12.9,2026-01-13
M-01815,WEST,77.11,2026-01-22
M-01478,SOUTH,297.96,2026-01-24
M-00643,WEST,354.18,2026-01-30
M-01844,WEST,22.2,2026-01-17
M-01251,EAST,458.68,2026-01-30
M-01319,EAST,95.34,2026-01-07
M-01818,NORTH,10.23,2026-01-18
M-00906,WEST,15.36,2026-01-23
M-00708,SOUTH,19.48,2026-01-29
M-01589,NORTH,67.93,2026-01-07
M-01805,WEST,98.66,2026-01-10
