meter_id,region,daily_kw,date
M-00568,EAST,12.34,2026-02-20
M-00271,NORTH,19.76,2026-01-14
M-00483,SOUTH,25.34,2026-02-08
M-00186,WEST,7.82,2026-03-06
M-00272,WEST,82.71,2026-01-27
M-01195,SOUTH,67.7,2026-01-10
M-00997,EAST,103.4,2026-01-31
M-00553,WEST,15.63,2026-02-12
M-00844,WEST,413.99,2026-01-07
M-00248,SOUTH,14.75,2026-02-18
M-00627,SOUTH,72.95,2026-03-13
M-00935,NORTH,16.72,2026-01-21
M-01569,WEST,67.88,2026-01-15
M-00916,WEST,92.03,2026-02-07
M-01648,SOUTH,81.88,2026-02-02
M-00793,SOUTH,13.74,2026-01-24
M-01420,SOUTH,15.29,2026-02-25
M-01383,WEST,15.19,2026-03-20
M-01234,NORTH,77.98,2026-02-04
M-00017,NORTH,17.71,2026-03-15
M-00162,SOUTH,13.67,2026-02-21
M-00017,NORTH,19.33,2026-03-06
M-00243,EAST,16.35,2026-03-28
M-01383,WEST,19.78,2026-01-25
M-01955,NORTH,92.28,2026-02-20
M-01854,WEST,22.3,2026-03-04
M-00568,EAST,23.75,2026-03-27
M-00928,WEST,17.42,2026-03-12
M-01383,WEST,19.99,2026-01-26
M-00974,SOUTH,14.29,2026-02-07
M-01528,NORTH,343.76,2026-02-20
M-00110,EAST,18.94,2026-01-10
M-01257,EAST,89.55,2026-01-19
M-01848,SOUTH,62.18,2026-03-15
M-00162,SOUTH,10.46,2026-01-21
M-00272,WEST,72.83,2026-02-06
M-01951,NORTH,14.08,2026-03-23
M-01126,SOUTH,15.25,2026-03-25
M-01420,SOUTH,17.82,2026-01-10
M-01569,WEST,69.71,2026-01-01
M-00110,EAST,22.52,2026-03-18
M-00131,NORTH,17.4,2026-03-30
M-01528,NORTH,366.82,2026-02-09
M-01597,WEST,16.26,2026-01-29
M-01147,EAST,86.86,2026-02-08
M-00110,EAST,9.23,2026-02-02
M-01103,SOUTH,18.98,2026-03-29
M-00974,SOUTH,12.24,2026-01-07
M-00651,EAST,11.75,2026-03-17
M-00928,WEST,17.68,2026-02-07
M-01345,NORTH,16.99,2026-02-20
M-01373,WEST,15.53,2026-03-20
M-00742,WEST,90.85,2026-01-11
M-00597,SOUTH,96.73,2026-03-14
M-01149,SOUTH,15.62,2026-02-05
M-00974,SOUTH,8.39,2026-03-27
M-01383,WEST,14.56,2026-01-05
M-01955,NORTH,66.09,2026-02-14
M-00062,SOUTH,92.23,2026-01-17
M-01570,SOUTH,87.12,2026-03-14
M-01420,SOUTH,23.57,2026-01-15
M-00785,NORTH,84.2,2026-02-28
M-00974,SOUTH,13.48,2026-03-25
M-01126,SOUTH,12.41,2026-01-31
M-00162,SOUTH,10.94,2026-03-19
M-00518,WEST,17.31,2026-03-04
M-00651,EAST,12.55,2026-02-23
M-00663,EAST,19.69,2026-03-05
M-00673,NORTH,20.55,2026-03-10
M-00491,WEST,18.2,2026-03-27
M-01062,EAST,17.62,2026-02-21
M-00997,EAST,95.73,2026-03-11
M-00742,WEST,98.76,2026-02-14
M-00186,WEST,9.93,2026-03-22
M-00740,WEST,21.76,2026-01-09
M-00916,WEST,87.15,2026-02-21
M-00447,EAST,12.31,2026-02-03
M-00131,NORTH,19.31,2026-02-17
M-00974,SOUTH,10.59,2026-02-24
M-01695,EAST,76.93,2026-01-11
M-00518,WEST,16.83,2026-03-10
M-01105,EAST,15.25,2026-03-17
M-00928,WEST,9.09,2026-02-18
M-01657,NORTH,16.98,2026-03-28
M-01783,SOUTH,16.93,2026-03-31
M-01257,EAST,87.66,2026-01-23
M-01083,EAST,15.64,2026-01-30
M-00243,EAST,20.34,2026-02-22
M-00335,NORTH,487.91,2026-03-25
M-00956,SOUTH,19.07,2026-01-31
M-00874,WEST,18.74,2026-01-18
M-01126,SOUTH,11.72,2026-02-02
M-00998,NORTH,89.69,2026-02-04
M-00916,WEST,89.63,2026-01-31
M-01250,WEST,59.95,2026-01-09
M-01373,WEST,15.22,2026-03-26
M-01234,NORTH,97.7,2026-01-15
M-00785,NORTH,79.58,2026-01-16
M-00704,WEST,20.02,2026-02-10
M-00704,WEST,21.39,2026-01-15
M-00925,SOUTH,21.2,2026-03-26
M-00597,SOUTH,88.05,2026-01-14
M-01474,WEST,12.78,2026-03-30
M-00981,SOUTH,421.01,2026-03-06
M-01951,NORTH,15.73,2026-03-29
M-01648,SOUTH,87.74,2026-02-06
M-01488,NORTH,84.41,2026-03-25
M-00534,SOUTH,415.32,2026-03-11
M-01345,NORTH,22.59,2026-02-23
M-00017,NORTH,20.78,2026-01-09
M-01528,NORTH,355.76,2026-03-11
M-00577,SOUTH,18.81,2026-01-24
M-00685,EAST,81.31,2026-01-01
M-01345,NORTH,14.64,2026-02-02
M-01330,WEST,16.18,2026-03-27
M-00925,SOUTH,15.98,2026-03-12
M-01234,NORTH,86.09,2026-01-03
M-00556,WEST,15.24,2026-02-05
M-00483,SOUTH,18.61,2026-01-23
M-01618,NORTH,14.01,2026-02-18
M-01509,NORTH,17.73,2026-03-23
M-00982,NORTH,108.89,2026-03-28
M-00597,SOUTH,102.17,2026-02-23
M-01419,WEST,12.89,2026-03-08
M-01037,SOUTH,79.14,2026-02-23
M-00243,EAST,19.52,2026-03-16
M-01896,SOUTH,102.82,2026-01-23
M-00113,EAST,12.6,2026-03-19
M-01420,SOUTH,16.25,2026-03-19
M-00272,WEST,104.17,2026-02-02
M-00017,NORTH,23.03,2026-03-31
M-00163,NORTH,16.81,2026-03-07
M-01252,SOUTH,20.96,2026-02-23
M-01067,EAST,14.75,2026-02-05
M-00925,SOUTH,20.19,2026-01-19
M-01810,WEST,10.13,2026-03-13
M-01207,NORTH,99.93,2026-01-02
M-01197,SOUTH,10.64,2026-01-31
M-00609,SOUTH,12.95,2026-02-15
M-01509,NORTH,17.88,2026-01-10
M-01345,NORTH,17.69,2026-02-16
M-00062,SOUTH,86.97,2026-03-23
M-01242,EAST,18.63,2026-03-15
M-00541,SOUTH,484.5,2026-01-10
M-00017,NORTH,17.01,2026-02-17
M-00248,SOUTH,16.06,2026-01-16
M-00271,NORTH,18.02,2026-02-19
M-00740,WEST,14.64,2026-01-30
M-01474,WEST,18.99,2026-03-11
M-00186,WEST,14.91,2026-02-11
M-00935,NORTH,18.53,2026-01-31
M-00309,NORTH,16.05,2026-01-02
M-01119,WEST,92.6,2026-01-20
M-01062,EAST,18.91,2026-03-01
M-00186,WEST,12.07,2026-03-16
M-01238,WEST,14.04,2026-02-09
M-01951,NORTH,20.07,2026-02-21
M-01147,EAST,71.04,2026-01-05
M-01474,WEST,17.03,2026-01-30
M-01870,NORTH,21.41,2026-02-02
M-00541,SOUTH,255.97,2026-03-11
M-00685,EAST,81.78,2026-03-15
M-00556,WEST,17.24,2026-03-29
M-00869,NORTH,14.85,2026-02-02
M-01722,WEST,93.15,2026-03-07
M-01149,SOUTH,12.6,2026-01-23
M-01958,NORTH,82.47,2026-02-11
M-01345,NORTH,23.64,2026-02-18
M-01250,WEST,75.02,2026-03-29
M-00254,EAST,70.65,2026-01-24
M-00874,WEST,16.33,2026-03-19
M-01485,EAST,19.6,2026-02-07
M-01103,SOUTH,14.08,2026-02-28
M-00572,WEST,19.21,2026-01-22
M-00309,NORTH,16.82,2026-01-15
M-01188,SOUTH,20.4,2026-01-05
M-00874,WEST,18.33,2026-03-25
M-01485,EAST,18.56,2026-02-12
M-01407,SOUTH,16.27,2026-02-19
M-01345,NORTH,20.04,2026-01-20
M-00113,EAST,22.52,2026-03-11
M-01570,SOUTH,93.65,2026-01-04
M-00264,SOUTH,72.88,2026-03-23
M-01722,WEST,89.58,2026-01-26
M-00556,WEST,16.57,2026-03-26
M-00113,EAST,15.71,2026-02-02
M-00925,SOUTH,18.96,2026-01-04
M-01723,SOUTH,94.58,2026-01-04
M-00651,EAST,10.78,2026-01-03
M-01197,SOUTH,9.83,2026-03-16
M-00627,SOUTH,73.34,2026-02-12
M-00491,WEST,16.7,2026-02-16
M-00966,WEST,22.84,2026-02-16
M-00643,WEST,416.55,2026-01-17
M-01062,EAST,17.03,2026-02-15
M-01067,EAST,21.28,2026-01-10
M-00673,NORTH,17.58,2026-03-21
M-01958,NORTH,101.41,2026-02-12
M-01854,WEST,24.37,2026-01-24
M-00597,SOUTH,77.46,2026-01-11
M-01722,WEST,96.29,2026-02-16
M-01234,NORTH,100.51,2026-03-21
M-00017,NORTH,17.43,2026-01-07
M-01239,WEST,18.18,2026-03-31
M-01207,NORTH,78.25,2026-02-12
M-00272,WEST,112.12,2026-03-27
M-01188,SOUTH,19.68,2026-03-09
M-00685,EAST,82.52,2026-03-21
M-01067,EAST,21.01,2026-02-16
M-00125,SOUTH,13.72,2026-02-03
M-01951,NORTH,18.48,2026-03-13
M-00248,SOUTH,19.54,2026-03-02
M-00686,NORTH,89.7,2026-03-08
M-00864,WEST,13.26,2026-02-03
M-00049,SOUTH,16.82,2026-02-13
M-00476,EAST,18.53,2026-03-23
M-00541,SOUTH,458.1,2026-02-05
M-00663,EAST,21.16,2026-03-29
M-00785,NORTH,95.5,2026-03-04
M-01842,WEST,13.68,2026-03-27
M-00556,WEST,19.27,2026-01-09
M-01723,SOUTH,103.2,2026-02-19
M-01597,WEST,16.58,2026-01-23
M-00956,SOUTH,16.81,2026-02-27
M-00476,EAST,15.4,2026-02-02
M-01250,WEST,89.01,2026-01-28
M-00109,EAST,14.41,2026-01-22
M-01419,WEST,12.41,2026-01-17
M-01064,NORTH,18.21,2026-01-06
M-01062,EAST,20.61,2026-02-05
M-01648,SOUTH,100.17,2026-03-14
M-00651,EAST,14.71,2026-01-19
M-00935,NORTH,17.81,2026-03-08
M-01149,SOUTH,15.13,2026-02-21
M-01234,NORTH,69.05,2026-01-31
M-01597,WEST,19.24,2026-02-26
M-00793,SOUTH,12.18,2026-03-31
M-00335,NORTH,341.76,2026-02-27
