meter_id,region,daily_kw,date
M-00395,WEST,15.32,2026-01-01
M-00390,WEST,82.36,2026-01-01
M-01665,WEST,14.78,2026-01-01
M-00161,SOUTH,19.95,2026-01-01
M-01822,EAST,7.36,2026-01-01
M-00957,WEST,15.84,2026-01-01
M-01276,WEST,16.16,2026-01-01
M-00653,EAST,19.64,2026-01-01
M-01771,SOUTH,19.41,2026-01-01
M-00557,WEST,69.31,2026-01-01
M-01112,EAST,434.41,2026-01-01
M-01076,WEST,15.18,2026-01-01
M-01350,WEST,12.52,2026-01-01
M-00718,SOUTH,14.71,2026-01-01
M-01053,NORTH,18.35,2026-01-01
M-01854,WEST,21.97,2026-01-01
M-01070,NORTH,23.51,2026-01-01
M-01320,SOUTH,20.93,2026-01-01
M-01826,SOUTH,15.21,2026-01-01
M-00111,EAST,16.6,2026-01-01
M-01608,SOUTH,15.48,2026-01-01
M-00581,WEST,381.56,2026-01-01
M-00620,SOUTH,62.72,2026-01-01
M-01091,EAST,76.96,2026-01-01
M-00443,EAST,21.02,2026-01-01
M-01764,SOUTH,24.03,2026-01-01
M-00965,WEST,90.54,2026-01-01
M-01461,NORTH,87.59,2026-01-01
M-00178,WEST,93.58,2026-01-01
M-00091,NORTH,64.85,2026-01-01
M-00430,NORTH,16.79,2026-01-02
M-00957,WEST,12.13,2026-01-02
M-00290,WEST,14.38,2026-01-02
M-00406,NORTH,17.78,2026-01-02
M-01093,WEST,362.44,2026-01-02
M-00065,EAST,15.92,2026-01-02
M-00926,WEST,99.36,2026-01-02
M-00671,WEST,13.68,2026-01-02
M-00414,EAST,23.37,2026-01-02
M-00177,SOUTH,471.79,2026-01-02
M-00729,EAST,18.11,2026-01-02
M-00340,NORTH,17.98,2026-01-02
M-00190,WEST,11.04,2026-01-02
M-01835,WEST,15.24,2026-01-02
M-00909,NORTH,13.13,2026-01-02
M-01963,SOUTH,12.93,2026-01-02
M-01256,NORTH,20.82,2026-01-02
M-00009,SOUTH,87.64,2026-01-02
M-00411,SOUTH,14.81,2026-01-02
M-01713,SOUTH,75.41,2026-01-02
M-00111,EAST,17.34,2026-01-02
M-00032,WEST,15.32,2026-01-02
M-01501,WEST,16.29,2026-01-02
M-01073,EAST,18.74,2026-01-02
M-01566,EAST,12.46,2026-01-02
M-00179,WEST,19.31,2026-01-02
M-01910,WEST,13.11,2026-01-02
M-00217,SOUTH,16.23,2026-01-02
M-00091,NORTH,76.54,2026-01-02
M-00323,WEST,20.16,2026-01-02
M-00238,SOUTH,79.98,2026-01-03
M-01995,EAST,91.45,2026-01-03
M-01608,SOUTH,15.19,2026-01-03
M-01593,EAST,15.83,2026-01-03
M-01241,WEST,12.76,2026-01-03
M-00178,WEST,77.31,2026-01-03
M-00406,NORTH,15.22,2026-01-03
M-00384,NORTH,84.86,2026-01-03
M-01871,NORTH,15.53,2026-01-03
M-00200,SOUTH,17.26,2026-01-03
M-00653,EAST,21.47,2026-01-03
M-01658,SOUTH,17.52,2026-01-03
M-00323,WEST,17.63,2026-01-03
M-01264,EAST,79.0,2026-01-03
M-00487,WEST,13.89,2026-01-03
M-00414,EAST,18.48,2026-01-03
M-01675,EAST,97.97,2026-01-03
M-00904,WEST,14.27,2026-01-03
M-01276,WEST,25.7,2026-01-03
M-00191,SOUTH,17.2,2026-01-03
M-01826,SOUTH,18.54,2026-01-03
M-00241,SOUTH,15.03,2026-01-03
M-01433,NORTH,23.0,2026-01-03
M-00390,WEST,97.64,2026-01-03
M-01884,SOUTH,20.59,2026-01-03
M-00581,WEST,457.59,2026-01-03
M-01644,SOUTH,17.64,2026-01-03
M-00060,WEST,11.15,2026-01-03
M-01963,SOUTH,14.25,2026-01-03
M-00658,EAST,19.8,2026-01-03
M-00177,SOUTH,337.4,2026-01-04
M-01737,EAST,16.26,2026-01-04
M-01290,SOUTH,79.59,2026-01-04
