meter_id,region,daily_kw,date
M-00948,WEST,18.27,2026-02-26
M-01719,SOUTH,14.75,2026-02-02
M-00174,WEST,396.69,2026-02-02
M-00220,NORTH,25.84,2026-02-11
M-01218,WEST,19.52,2026-02-04
M-01415,WEST,9.91,2026-02-11
M-01771,SOUTH,20.59,2026-02-02
M-01047,NORTH,20.47,2026-02-24
M-01469,SOUTH,11.35,2026-02-02
M-01152,SOUTH,14.9,2026-02-24
M-01981,WEST,21.75,2026-02-16
M-01311,EAST,105.46,2026-02-28
M-00317,EAST,350.46,2026-02-10
M-01919,EAST,347.57,2026-02-01
M-01650,WEST,78.91,2026-02-16
M-00138,EAST,11.16,2026-02-01
M-00314,WEST,20.38,2026-02-20
M-00507,EAST,74.42,2026-02-07
M-00213,EAST,21.17,2026-02-16
M-00801,WEST,18.49,2026-02-02
M-01897,SOUTH,397.65,2026-02-04
M-00377,EAST,20.95,2026-02-27
M-00482,EAST,19.21,2026-02-27
M-01255,SOUTH,380.02,2026-02-22
M-00900,WEST,17.24,2026-02-28
M-00300,WEST,16.84,2026-02-21
M-00045,EAST,13.87,2026-02-06
M-00493,NORTH,21.47,2026-02-06
M-01048,NORTH,11.63,2026-02-24
M-00984,EAST,10.86,2026-02-10
M-00593,NORTH,20.91,2026-02-22
M-00753,SOUTH,94.99,2026-02-22
M-00564,NORTH,67.77,2026-02-13
M-00951,EAST,494.29,2026-02-14
M-01667,EAST,19.32,2026-02-14
M-00247,NORTH,93.35,2026-02-19
M-00798,WEST,82.06,2026-02-01
M-01333,NORTH,17.66,2026-02-22
M-01270,NORTH,23.68,2026-02-15
M-01972,NORTH,19.56,2026-02-05
M-00959,SOUTH,83.33,2026-02-24
M-00325,WEST,85.45,2026-02-12
M-01026,NORTH,90.64,2026-02-28
M-01849,SOUTH,16.58,2026-02-23
M-01076,WEST,16.33,2026-02-13
M-00311,EAST,17.86,2026-02-12
M-01344,NORTH,15.24,2026-02-24
M-01759,EAST,16.84,2026-02-26
M-00287,NORTH,12.57,2026-02-09
M-01892,WEST,14.14,2026-02-13
M-00140,NORTH,16.39,2026-02-27
M-00967,NORTH,75.2,2026-02-20
M-01350,WEST,8.34,2026-02-06
M-01589,NORTH,71.57,2026-02-22
M-01077,WEST,13.09,2026-02-09
M-01957,SOUTH,19.74,2026-02-19
M-00713,SOUTH,15.97,2026-02-19
M-00093,SOUTH,76.27,2026-02-01
M-01745,SOUTH,18.66,2026-02-24
M-00218,EAST,443.89,2026-02-16
M-01914,SOUTH,13.49,2026-02-22
M-01581,WEST,18.67,2026-02-26
M-01879,NORTH,12.24,2026-02-24
M-01804,SOUTH,79.23,2026-02-06
M-01492,EAST,85.49,2026-02-13
M-00132,WEST,15.18,2026-02-02
M-01254,NORTH,21.93,2026-02-09
M-00150,WEST,101.27,2026-02-15
M-01564,SOUTH,13.94,2026-02-12
M-01892,WEST,14.79,2026-02-06
M-00658,EAST,17.17,2026-02-04
M-01306,SOUTH,15.51,2026-02-19
M-01140,NORTH,12.7,2026-02-07
M-01391,WEST,20.96,2026-02-10
M-00462,NORTH,17.86,2026-02-07
M-01083,EAST,15.12,2026-02-26
M-01618,NORTH,12.34,2026-02-07
M-01966,WEST,427.18,2026-02-22
M-00198,SOUTH,453.92,2026-02-07
M-00011,EAST,18.31,2026-02-12
M-01586,WEST,61.82,2026-02-14
M-00698,SOUTH,15.75,2026-02-06
M-01398,EAST,22.21,2026-02-24
M-01082,WEST,393.31,2026-02-16
M-00390,WEST,91.31,2026-02-27
M-01026,NORTH,108.06,2026-02-12
M-00731,WEST,22.28,2026-02-20
M-01642,SOUTH,347.28,2026-02-03
M-00899,WEST,329.6,2026-02-14
M-01166,WEST,66.6,2026-02-03
M-00261,NORTH,16.76,2026-02-26
M-01022,NORTH,17.87,2026-02-08
M-00106,EAST,11.63,2026-02-20
M-01683,NORTH,17.85,2026-02-10
M-01889,NORTH,11.98,2026-02-27
M-00140,NORTH,22.21,2026-02-28
M-01785,WEST,89.93,2026-02-06
M-01179,SOUTH,84.0,2026-02-08
M-01748,SOUTH,20.89,2026-02-17
M-00818,EAST,16.68,2026-02-20
M-00117,NORTH,11.72,2026-02-18
M-00965,WEST,79.15,2026-02-09
M-01338,WEST,20.77,2026-02-01
M-00411,SOUTH,18.57,2026-02-11
M-01819,NORTH,19.7,2026-02-25
M-01673,SOUTH,18.67,2026-02-24
M-00676,WEST,15.13,2026-02-25
M-00483,SOUTH,13.26,2026-02-16
