meter_id,daily_kw,date,region,substation_id
M-00001,888.3,2026-03-13,NORTH_COAST,SUB-037
M-00002,3596.8,2026-03-05,EAST_COAST,SUB-040
M-00003,3446.7,2026-03-05,EAST_INLAND,SUB-030
M-00004,636.3,2026-03-03,NORTH_COAST,SUB-015
M-00005,3993.3,2026-03-14,NORTH_COAST,SUB-010
M-00006,1636.2,2026-03-05,WEST_COAST,SUB-040
M-00007,2290.5,2026-03-10,NORTH_COAST,SUB-036
M-00008,3525.7,2026-03-01,NORTH_COAST,SUB-032
M-00009,3780.9,2026-03-04,NORTH_COAST,SUB-010
M-00010,3923.9,2026-03-04,EAST_INLAND,SUB-002
M-00011,1278.3,2026-03-14,SOUTH_COAST,SUB-003
M-00012,2248.9,2026-03-05,NORTH_COAST,SUB-023
M-00013,1090.8,2026-03-14,NORTH_COAST,SUB-035
M-00014,1837.2,2026-03-03,NORTH_COAST,SUB-002
M-00015,2272.7,2026-03-02,NORTH_COAST,SUB-009
M-00016,2052.0,2026-03-03,NORTH_COAST,SUB-036
M-00017,1215.9,2026-03-03,NORTH_COAST,SUB-035
M-00018,1961.4,2026-03-05,NORTH_COAST,SUB-012
M-00019,221.6,2026-03-13,NORTH_COAST,SUB-016
M-00020,621.8,2026-03-02,NORTH_COAST,SUB-016
M-00021,3279.7,2026-03-11,NORTH_COAST,SUB-009
M-00022,3610.8,2026-03-05,EAST_COAST,SUB-010
M-00023,4050.3,2026-03-02,SOUTH_INLAND,SUB-001
M-00024,3276.8,2026-03-08,NORTH_COAST,SUB-012
M-00025,3901.9,2026-03-04,NORTH_INLAND,SUB-028
M-00026,3963.1,2026-03-01,WEST_INLAND,SUB-011
M-00027,860.1,2026-03-06,NORTH_INLAND,SUB-006
M-00028,1065.6,2026-03-06,EAST_COAST,SUB-040
M-00029,708.1,2026-03-02,NORTH_COAST,SUB-002
M-00030,2379.2,2026-03-03,NORTH_COAST,SUB-036
M-00031,3861.0,2026-03-08,NORTH_COAST,SUB-023
M-00032,691.8,2026-03-13,NORTH_COAST,SUB-016
M-00033,4059.7,2026-03-14,NORTH_COAST,SUB-029
M-00034,2458.6,2026-03-05,SOUTH_INLAND,SUB-015
M-00035,3091.9,2026-03-06,WEST,SUB-015
M-00036,1385.7,2026-03-11,SOUTH_INLAND,SUB-008
M-00037,736.8,2026-03-01,NORTH_COAST,SUB-009
M-00038,1932.4,2026-03-05,SOUTH,SUB-004
M-00039,1160.9,2026-03-11,NORTH_COAST,SUB-008
