timestamp,country_code,turbine_id,rpm,temperature_c,wind_speed_ms
2026-04-08 14:01:24,NL,TUR-NL-005,1142.5,62.0,10.3
2026-04-08 14:00:12,NL,TUR-NL-003,1379.8,64.1,12.9
2026-04-08 14:00:12,DE,TUR-DE-003,1206.7,59.2,10.8
2026-04-08 14:00:48,NL,TUR-NL-004,1127.6,58.8,14.1
2026-04-08 14:01:54,NL,TUR-NL-005,1412.0,58.8,10.2
2026-04-08 14:02:00,DE,TUR-DE-001,1381.4,64.0,15.3
2026-04-08 14:02:24,DE,TUR-DE-005,1382.2,74.0,10.4
2026-04-08 14:01:00,FR,TUR-FR-001,1134.7,61.9,16.6
2026-04-08 14:00:36,FR,TUR-FR-002,1185.4,63.9,11.2
2026-04-08 14:02:18,FR,TUR-FR-004,1324.8,57.7,8.9
2026-04-08 14:00:54,NL,TUR-NL-005,1490.5,74.7,16.3
2026-04-08 14:01:06,DE,TUR-DE-002,1409.7,62.7,15.5
2026-04-08 14:01:54,LU,TUR-LU-005,1229.5,71.7,13.1
2026-04-08 14:01:00,NL,TUR-NL-001,1105.2,58.5,12.6
2026-04-08 14:01:12,LU,TUR-LU-003,1296.7,61.9,16.4
2026-04-08 14:02:24,NL,TUR-NL-005,1144.2,57.4,17.4
2026-04-08 14:02:12,LU,TUR-LU-003,1284.7,67.2,13.7
2026-04-08 14:00:48,LU,TUR-LU-004,1230.0,58.4,13.4
2026-04-08 14:00:18,DE,TUR-DE-004,1148.5,66.6,17.0
2026-04-08 14:00:30,LU,TUR-LU-001,1287.0,65.4,11.7
2026-04-08 14:02:18,LU,TUR-LU-004,1278.8,67.1,15.6
2026-04-08 14:00:18,LU,TUR-LU-004,1276.0,58.7,12.0
2026-04-08 14:00:00,DE,TUR-DE-001,1285.2,62.5,9.4
2026-04-08 14:01:30,LU,TUR-LU-001,1307.1,58.9,12.4
2026-04-08 14:01:12,NL,TUR-NL-003,1249.3,72.6,10.3
2026-04-08 14:00:36,NL,TUR-NL-002,1455.6,65.9,13.2
2026-04-08 14:01:42,NL,TUR-NL-003,1429.2,69.6,14.2
2026-04-08 14:00:48,DE,TUR-DE-004,1181.2,55.2,8.8
2026-04-08 14:00:42,FR,TUR-FR-003,1192.4,74.3,12.0
2026-04-08 14:01:06,FR,TUR-FR-002,1135.5,67.6,9.0
2026-04-08 14:00:06,NL,TUR-NL-002,1476.5,55.6,17.9
2026-04-08 14:01:18,NL,TUR-NL-004,1172.5,56.3,11.5
2026-04-08 14:01:42,DE,TUR-DE-003,74.6,85.2,12.2
2026-04-08 14:02:06,LU,TUR-LU-002,1460.7,73.6,16.8
2026-04-08 14:01:36,DE,TUR-DE-002,1140.7,60.8,14.7
2026-04-08 14:02:00,FR,TUR-FR-001,1494.4,66.5,8.2
2026-04-08 14:00:36,DE,TUR-DE-002,1302.5,73.5,13.9
2026-04-08 14:00:06,LU,TUR-LU-002,1420.0,56.2,10.5
2026-04-08 14:00:12,LU,TUR-LU-003,1468.0,74.4,8.9
2026-04-08 14:01:12,FR,TUR-FR-003,1249.2,72.2,11.7
2026-04-08 14:02:24,LU,TUR-LU-005,1139.6,69.3,10.8
