meter_id,daily_kw,date,region,substation_id
M-00001,760.3,2026-03-01,EAST_INLAND,SUB-002
M-00001,2343.7,2026-03-02,EAST_INLAND,SUB-002
M-00001,456.2,2026-03-03,EAST_INLAND,SUB-002
M-00001,2728.4,2026-03-04,EAST_INLAND,SUB-002
M-00001,404.0,2026-03-05,EAST_INLAND,SUB-002
M-00001,740.5,2026-03-06,EAST_INLAND,SUB-002
M-00001,975.3,2026-03-07,EAST_INLAND,SUB-002
M-00001,1737.4,2026-03-08,EAST_INLAND,SUB-002
M-00001,770.4,2026-03-09,EAST_INLAND,SUB-002
M-00001,1202.4,2026-03-10,EAST_INLAND,SUB-002
M-00002,3393.0,2026-03-01,EAST,SUB-032
M-00002,397.9,2026-03-02,EAST,SUB-032
M-00002,3410.4,2026-03-03,EAST,SUB-032
M-00002,987.3,2026-03-04,EAST,SUB-032
M-00002,1826.7,2026-03-05,EAST,SUB-032
M-00002,1370.0,2026-03-06,EAST,SUB-032
M-00002,495.2,2026-03-07,EAST,SUB-032
M-00002,2601.9,2026-03-08,EAST,SUB-032
M-00002,3676.4,2026-03-09,EAST,SUB-032
M-00002,2451.5,2026-03-10,EAST,SUB-032
M-00003,2122.1,2026-03-01,WEST_INLAND,SUB-039
M-00003,2277.6,2026-03-02,WEST_INLAND,SUB-039
M-00003,1252.7,2026-03-03,WEST_INLAND,SUB-039
M-00003,3320.7,2026-03-04,WEST_INLAND,SUB-039
M-00003,2699.5,2026-03-05,WEST_INLAND,SUB-039
M-00003,2843.7,2026-03-06,WEST_INLAND,SUB-039
M-00003,1046.1,2026-03-07,WEST_INLAND,SUB-039
M-00003,1448.6,2026-03-08,WEST_INLAND,SUB-039
M-00003,659.5,2026-03-09,WEST_INLAND,SUB-039
M-00003,1585.0,2026-03-10,WEST_INLAND,SUB-039
M-00004,470.9,2026-03-01,EAST,SUB-035
M-00004,3650.8,2026-03-02,EAST,SUB-035
M-00004,1894.9,2026-03-03,EAST,SUB-035
M-00004,2599.4,2026-03-04,EAST,SUB-035
M-00004,3825.9,2026-03-05,EAST,SUB-035
M-00004,1309.3,2026-03-06,EAST,SUB-035
M-00004,1262.9,2026-03-07,EAST,SUB-035
M-00004,2331.2,2026-03-08,EAST,SUB-035
M-00004,998.5,2026-03-09,EAST,SUB-035
M-00004,3291.0,2026-03-10,EAST,SUB-035
M-00005,2952.3,2026-03-01,WEST,SUB-029
M-00005,1341.2,2026-03-02,WEST,SUB-029
M-00005,1158.3,2026-03-03,WEST,SUB-029
M-00005,3012.5,2026-03-04,WEST,SUB-029
M-00005,2263.8,2026-03-05,WEST,SUB-029
M-00005,863.3,2026-03-06,WEST,SUB-029
M-00005,3669.6,2026-03-07,WEST,SUB-029
M-00005,1715.3,2026-03-08,WEST,SUB-029
M-00005,1673.3,2026-03-09,WEST,SUB-029
M-00005,1455.7,2026-03-10,WEST,SUB-029
M-00006,1930.9,2026-03-01,NORTH,SUB-032
M-00006,3994.3,2026-03-02,NORTH,SUB-032
M-00006,2551.1,2026-03-03,NORTH,SUB-032
M-00006,1193.7,2026-03-04,NORTH,SUB-032
M-00006,2364.0,2026-03-05,NORTH,SUB-032
M-00006,2563.1,2026-03-06,NORTH,SUB-032
M-00006,2461.0,2026-03-07,NORTH,SUB-032
M-00006,348.3,2026-03-08,NORTH,SUB-032
M-00006,1105.6,2026-03-09,NORTH,SUB-032
M-00006,286.2,2026-03-10,NORTH,SUB-032
M-00007,3301.6,2026-03-01,WEST_INLAND,SUB-038
M-00007,1700.4,2026-03-02,WEST_INLAND,SUB-038
M-00007,2731.2,2026-03-03,WEST_INLAND,SUB-038
M-00007,3839.4,2026-03-04,WEST_INLAND,SUB-038
M-00007,3622.2,2026-03-05,WEST_INLAND,SUB-038
M-00007,3390.8,2026-03-06,WEST_INLAND,SUB-038
M-00007,1155.1,2026-03-07,WEST_INLAND,SUB-038
M-00007,3695.2,2026-03-08,WEST_INLAND,SUB-038
M-00007,2858.0,2026-03-09,WEST_INLAND,SUB-038
M-00007,2101.4,2026-03-10,WEST_INLAND,SUB-038
M-00008,262.6,2026-03-01,SOUTH,SUB-015
M-00008,3010.9,2026-03-02,SOUTH,SUB-015
M-00008,2818.2,2026-03-03,SOUTH,SUB-015
M-00008,3798.0,2026-03-04,SOUTH,SUB-015
M-00008,2218.5,2026-03-05,SOUTH,SUB-015
M-00008,3737.3,2026-03-06,SOUTH,SUB-015
M-00008,2165.3,2026-03-07,SOUTH,SUB-015
M-00008,1307.1,2026-03-08,SOUTH,SUB-015
M-00008,3118.5,2026-03-09,SOUTH,SUB-015
M-00008,410.8,2026-03-10,SOUTH,SUB-015
M-00009,467.7,2026-03-01,SOUTH_INLAND,SUB-014
M-00009,1267.3,2026-03-02,SOUTH_INLAND,SUB-014
M-00009,1041.8,2026-03-03,SOUTH_INLAND,SUB-014
M-00009,1854.1,2026-03-04,SOUTH_INLAND,SUB-014
M-00009,436.3,2026-03-05,SOUTH_INLAND,SUB-014
M-00009,402.8,2026-03-06,SOUTH_INLAND,SUB-014
M-00009,1340.0,2026-03-07,SOUTH_INLAND,SUB-014
M-00009,2525.0,2026-03-08,SOUTH_INLAND,SUB-014
M-00009,2387.4,2026-03-09,SOUTH_INLAND,SUB-014
M-00009,1032.8,2026-03-10,SOUTH_INLAND,SUB-014
M-00010,2975.5,2026-03-01,NORTH_COAST,SUB-026
M-00010,639.5,2026-03-02,NORTH_COAST,SUB-026
M-00010,2887.3,2026-03-03,NORTH_COAST,SUB-026
M-00010,2258.8,2026-03-04,NORTH_COAST,SUB-026
M-00010,3814.9,2026-03-05,NORTH_COAST,SUB-026
M-00010,197.5,2026-03-06,NORTH_COAST,SUB-026
M-00010,507.4,2026-03-07,NORTH_COAST,SUB-026
M-00010,201.6,2026-03-08,NORTH_COAST,SUB-026
M-00010,3394.7,2026-03-09,NORTH_COAST,SUB-026
M-00010,1850.7,2026-03-10,NORTH_COAST,SUB-026
M-00011,513.0,2026-03-01,NORTH_INLAND,SUB-035
